Server-Crownlabs-performance,Server-Crownlabs-consumption,Server-Crownlabs-consumption (correction),Server-Polycube-performance,Server-Polycube-consumption,Raspberry-performance,Raspberry-consumption,Desktop-performance,Desktop-consumption,Matebook-performance,Matebook-consumption,Laptop-Fulvio-performance,Laptop-Fulvio-consumption
nan,nan,nan,nan,nan,49174.3691288548,304.16,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,49413.9149865338,304.77,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,49640.3727115534,305.47,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,49844.6298877365,306.18,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,50097.4178304795,309.83,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,50336.9636881585,310.44,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,50563.4214131781,311.14,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,50767.6785893612,311.85,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,51020.4665321043,315.5,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,51260.0123897833,316.11,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,51486.4701148029,316.81,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,51690.727290986,317.52,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,51943.515233729,321.17,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,52183.061091408,321.78,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,52409.5188164276,322.48,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,52613.7759926108,323.19,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,52866.5639353538,326.84,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,53106.1097930328,327.45,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,53332.5675180524,328.15,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,53536.8246942355,328.86,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,53789.6126369785,332.51,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,54029.1584946575,333.12,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,54255.6162196771,333.82,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,54459.8733958603,334.53,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,54712.6613386033,338.18,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,54952.2071962823,338.79,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,55178.6649213019,339.49,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,55382.922097485,340.2,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,55635.710040228,343.85,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,55875.255897907,344.46,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,56101.7136229266,345.16,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,56305.9707991097,345.87,nan,nan,nan,nan,nan,nan
